Date,CustomerID,ProductType,Rating,Total_Ratings,Gender,PaymentMode,PaymentMode.1,ShippingMode,ShippingTime,Price,PaidCurrency,Price_dollar
2020-08-24,10541,Shirts/Tops,5 star,9015,Unspecified,Credit Card,Creditcard,Economy,11.0,"€ 4,487.03",Euro,5278.201077719999
2020-08-30,10543,Coats/Jackets,4 star,7100,Female,Mobile,Mobile,Mail,19.0,"$6,425.44 ",American Dollar,6425.44
2020-08-28,10544,Cardigan,1 star,7547,Male,Ewallet,Ewallet,Mail,14.0,"$5,382.49 ",American Dollar,5382.49
2020-08-25,10545,Shirts/Tops,2 star,8819,Female,Credit Card,Credit Card,Express,20.0,"€ 6,765.48",Euro,7958.396495519999
2020-08-06,10546,Coats/Jackets,4 star,6841,Male,Ewallet,Ewallet,Express,18.0,"€ 3,383.62",Euro,3980.23341288
2020-08-28,10547,Hats,3 star,6040,Unspecified,Direct Deposit,Direct Deposit,Express,12.0,"$9,430.45 ",American Dollar,9430.45
2020-08-26,10548,Dresses,3 star,5485,Male,Credit Card,Creditcard,Mail,19.0,"€ 1,354.18",Euro,1592.95443432
2020-08-18,10549,Pants,3 star,8745,Unspecified,Prepaid Card,Prepaid Card,Mail,10.0,£ 4060.4158125000004,British Pound,5637.72493902375
2020-08-18,10550,Dresses,5 star,9365,Unspecified,Credit Card,Credit Card,Normal,13.0,"$2,904.03 ",American Dollar,2904.03
2020-08-21,10551,Hats,2 star,8734,Male,Direct Deposit,Directdeposit,Normal,16.0,£ 5817.31677175,British Pound,8077.1116449040055
2020-08-14,10552,Shirts/Tops,5 star,9965,Male,Cash,Cash,Express,7.0,"$4,965.25 ",American Dollar,4965.25
2020-08-23,10553,Shirts/Tops,3 star,8175,Unspecified,Credit Card,Credit Card,Express,5.0,₹ 388459.65750934,Indian Rupee,5230.609288363263
2020-08-16,10554,Coats/Jackets,4 star,9303,Male,Direct Deposit,Direct Deposit,Economy,11.0,"€ 1,943.27",Euro,2285.9151394799997
2020-08-23,10555,Coats/Jackets,1 star,8399,Female,Prepaid Card,Prepaid Card,Mail,14.0,"$2,528.42 ",American Dollar,2528.42
2020-08-08,10556,Dresses,1 star,7502,Male,Prepaid Card,Prepaid Card,Normal,14.0,"$9,962.44 ",American Dollar,9962.44
2020-08-08,10557,Coats/Jackets,1 star,6838,Female,Ewallet,Ewallet,Express,7.0,"€ 5,241.53",Euro,6165.737535719999
2020-08-31,10558,Coats/Jackets,5 star,7007,Unspecified,Credit Card,Credit Card,Normal,11.0,₹ 234895.78095268,Indian Rupee,3162.871690527836
2020-08-23,10561,Dresses,1 star,7607,Male,Direct Deposit,Directdeposit,Mail,18.0,"$7,891.05 ",American Dollar,7891.05
2020-08-03,10562,Coats/Jackets,2 star,5858,Male,Credit Card,Creditcard,Express,8.0,£ 4114.86427075,British Pound,5713.324445365545
2020-08-08,10563,Shirts/Tops,3 star,7066,Male,Credit Card,Credit Card,Mail,9.0,₹ 617567.83078528,Indian Rupee,8315.550841523795
2020-08-18,10564,Dresses,2 star,9142,Female,Credit Card,Creditcard,Normal,5.0,₹ 325580.74608394003,Indian Rupee,4383.944746020253
2020-08-23,10565,Coats/Jackets,1 star,6328,Male,Cash,Cash,Mail,7.0,"€ 7,708.86",Euro,9068.11703064
2020-08-04,10566,Coats/Jackets,2 star,6090,Female,Prepaid Card,Prepaid Card,Express,5.0,£ 1148.1217405,British Pound,1594.12111181463
2020-08-16,10567,Coats/Jackets,5 star,9433,Unspecified,Mobile,Mobile,Normal,13.0,₹ 127655.91325387999,Indian Rupee,1718.886871963494
2020-08-25,10568,Pants,3 star,7354,Female,Credit Card,Credit Card,Normal,10.0,₹ 577078.47118378,Indian Rupee,7770.361614489598
2020-08-29,10570,Jeans,1 star,7807,Unspecified,Credit Card,Credit Card,Mail,6.0,£ 6232.343745500001,British Pound,8653.359996876932
